Vsw,Va,Sp,Tratio,sigma_Tp,f107,R,class
-1.07197951120556,0.557682322589178,-0.282913239277123,-0.616630612078884,-0.318520193242434,-0.902964089676929,-0.981140732386718,ejecta
-1.0575431247752,0.0682167587578959,-0.487102538285815,-0.486211615757194,-0.813281275804619,-0.902964089676929,-0.981140732386718,ejecta
-1.0575431247752,0.284455567275556,-0.428642512168313,-0.553309019468906,-0.351570134753577,-0.94779825435959,-1.20283269556776,ejecta
-1.1585978297877,-0.459355121835904,-0.56844669999946,-0.271887257435629,-0.835808590197865,-0.94779825435959,-1.20283269556776,ejecta
-0.191359938953794,0.776042588649521,-0.47165416862073,0.0325829552856441,-0.710772114914301,-0.995269722847112,-0.998193960323721,ejecta
-0.234669098244864,0.830576588994343,-0.455576266038226,-0.0476552122925958,-0.653811602862958,-0.995269722847112,-0.998193960323721,ejecta
-0.227450905029686,0.93692573727992,-0.402467563211809,-0.129486476777335,-0.72574092250455,-0.995269722847112,-0.998193960323721,ejecta
-0.523396826852001,-0.354039267080434,-0.588947004548466,0.103740519483443,-0.816195994114271,-1.02955467231032,-1.04935364413473,ejecta
-0.0469960746502253,4.5584300177638,1.25786933103265,-0.164921635404923,-0.387732402595367,-1.06120231796867,-1.20283269556776,ejecta
-0.213014518599329,4.75609551318809,0.735133710478834,-0.0488332744984538,-0.546016427411067,-1.06120231796867,-1.20283269556776,ejecta
-0.487305860776109,1.99370525011155,-0.102903082548254,-0.070846432234903,-0.761754984330594,-1.06120231796867,-1.20283269556776,ejecta
-0.703851657231462,0.332285423234342,-0.423254855877245,-0.437699976789705,-0.194965778116321,-1.04801579894436,-1.20283269556776,ejecta
-0.02534149500469,1.69601222136905,-0.0343763673306193,-0.375629653354835,-0.352113556811309,-0.94779825435959,-0.947034276512711,ejecta
0.0540586303622726,0.325986188989665,0.21708432799721,-0.476040643925778,0.710375370064868,-0.968896684798489,-0.810608453016685,ejecta
-0.11917800680201,0.0324091820512239,0.25876759961625,-0.531021427705377,-0.0901347229793305,-0.968896684798489,-0.810608453016685,ejecta
-0.826560941889495,-0.0557397429659426,-0.51494482953718,-0.0890793579512413,-0.822371244770315,-1.00845624187142,-0.929981048575708,ejecta
