u b v r i+ z++ vista_y vista_j vista_h vista_k irac_1 irac_2 Z_SIM
27.16898 26.9689 26.31399 25.76338 24.91452 24.60572 24.45713 24.25334 24.00703 23.90587 24.04388 24.49942 0.69756
24.16975 23.86481 23.2543 22.68969 21.84728 21.59093 21.46007 21.27359 21.00665 20.87908 20.96482 21.41912 0.69205
23.94094 23.6929 23.27786 22.85663 22.11718 21.82253 21.66446 21.43442 21.06574 20.89859 20.94552 21.4376 0.68753
23.38182 23.06942 22.52945 22.02016 21.20121 20.90247 20.75043 20.52711 20.17978 20.01607 20.06595 20.53534 0.68411
24.15636 23.77443 22.97419 22.35252 21.42295 21.07321 20.89968 20.66559 20.31824 20.15291 20.21315 20.70144 0.68132
26.47348 26.32475 25.88637 25.38334 24.68028 24.48015 24.36806 24.21115 23.98711 23.90492 24.06607 24.51984 0.67825
24.8399 24.73438 24.44947 24.02341 23.41089 23.22635 23.1271 22.97833 22.76927 22.6872 22.86602 23.31221 0.67366
24.21082 23.94387 23.52832 23.05112 22.35387 22.11185 21.97849 21.77316 21.44111 21.29837 21.38883 21.8553 0.66998
25.06857 24.99647 24.82204 24.47078 23.92406 23.74166 23.63592 23.46407 23.22731 23.13498 23.30982 23.75201 0.66316
24.05317 23.54704 22.77058 22.13884 21.24219 20.87222 20.68549 20.421 20.01211 19.81149 19.86069 20.33405 0.66166
26.91124 26.73948 26.16523 25.62415 24.81573 24.46595 24.30162 24.06572 23.79886 23.67995 23.85616 24.29474 0.66018
25.37787 25.22901 24.88367 24.37603 23.74953 23.55284 23.44494 23.28787 23.09042 23.01551 23.23699 23.67518 0.65586
24.3349 23.96945 23.5331 22.98511 22.34804 22.14167 22.02683 21.84624 21.5451 21.41753 21.54252 21.99924 0.65427
26.05523 25.67381 24.75641 24.09413 23.13552 22.71481 22.52154 22.2439 21.8969 21.74987 21.88148 22.34077 0.64831
25.94103 25.74948 25.33169 24.77421 24.12815 23.89767 23.78373 23.60955 23.39922 23.30559 23.53297 23.96117 0.64425
26.68327 26.37245 25.72817 25.06091 24.3433 24.07499 23.94974 23.75871 23.54557 23.45579 23.68373 24.1149 0.64043
26.15308 25.90174 25.35612 24.72276 24.02941 23.76845 23.64456 23.44922 23.23202 23.13679 23.37288 23.79828 0.63539
25.45159 25.12253 24.51047 23.86596 23.10747 22.78993 22.6488 22.42069 22.14385 22.01614 22.19328 22.6329 0.63163
26.79793 26.38643 25.59057 24.88846 24.12207 23.79056 23.65129 23.42237 23.19962 23.0993 23.34895 23.7677 0.62559
23.07566 22.64463 22.07028 21.40923 20.67725 20.36441 20.22043 19.96943 19.63995 19.47695 19.61218 20.04549 0.62207
