Vsw,Va,Sp,Tratio,sigma_Tp,f107,R,class
-1.18747060264842,-0.663788744470982,-0.599191438859179,0.320927525632167,-0.794063895763012,-0.536378860801059,-0.469543894276619,ejecta
0.949114589044397,0.220548706539225,-0.557653957614135,3.16934600343638,-0.653268180805226,0.21525272358472,0.434277186384555,ejecta
-0.566705986143072,0.438102415649753,-0.503323502132179,0.107970081116761,-0.719664475859003,-0.0774879987550044,0.0420529438334794,ejecta
0.292259006463161,-0.564199888946638,-0.566580498781596,1.14123331819362,-0.683205795985724,-0.0484776569015183,-0.21374547522157,ejecta
-1.04310673834485,0.76822981186504,-0.294584291652441,-0.600933560425128,-0.421572776190484,0.82446990250793,0.843554656872634,ejecta
-1.17303421621806,0.745116081197134,-0.543731168583317,-0.271072229841308,-0.684391444111684,0.64777054758215,0.792394973061624,ejecta
1.63484294448635,3.97862232351391,-0.514737072151481,11.3315894076639,-0.634001398758371,0.753262699776645,1.33809826704573,ejecta
1.07904206691761,1.49679702059619,-0.52558040955733,7.32290065717682,-0.854334342165994,0.674143585630773,0.775341745124621,ejecta
-0.516178633636823,4.35554467477806,-0.565537265533465,2.87102103212747,-0.828645299436854,0.162506647487472,1.11640630386469,ejecta
0.126240562514057,1.51737600549882,-0.517079169069859,0.895037489599842,-0.76634937081869,1.28336076455398,0.383117502573545,ejecta
-0.386251155763611,0.56601697409653,-0.556308042444611,1.44607459273492,-0.802017618607996,1.05918994114068,0.314904590825532,ejecta
1.33889702266403,0.858139707083565,-0.28776454172016,0.615866027196252,-0.428093840883265,1.41258865099224,1.44041763466775,ejecta
0.775877951880115,0.905740019447674,-0.453848770148089,2.61823074412462,-0.757605215889733,1.31500841021233,0.945874024494654,ejecta
-0.241887291460043,-0.0654498202615897,-0.532673011061234,0.1621586772073,-0.547449085563269,0.347117913827839,0.468383642258562,ejecta
-0.350160189687719,0.492362252391285,-0.566797621428554,0.952079822346796,-0.655491271041402,0.157232039877747,0.673022377502601,ejecta
-1.10085228406627,-0.0293088391554725,-0.511756061676512,-0.335801478490959,-0.558712742759892,0.531729180168205,0.195531995266509,ejecta
-0.884306487610922,0.0023993120447847,-0.515876773268051,-0.306351056583905,-0.542508885038435,0.982708130799672,-0.0943728796625469,ejecta
0.429404677551551,0.438102415649753,-0.326322611654149,0.0612513802921287,-0.250394828004965,1.27808615694426,1.62800314197479,ejecta
-0.451214894700217,0.172662399190365,-0.388078539002912,-0.511549464020238,-0.467516641071445,1.00380656123857,1.09935307592768,ejecta
-0.747160816522532,0.801886183991378,-0.568243991551345,0.673798514673708,-0.84252726291164,1.52863001840618,1.30399181117172,ejecta
0.667605053652438,0.242406857168759,-0.572528812669134,8.78904098481909,-0.840106564654471,1.66840712006389,1.84969510515583,ejecta
0.119022369298878,0.116527946220189,-0.549278179106301,3.81419622675778,-0.79055635339038,1.85301838640426,1.64505636991179,ejecta
-0.653324304725213,-0.536261193891461,-0.550149843813459,-0.0425030398061459,-0.743920860435941,1.54445384123536,2.34423871532892,ejecta
-0.465651281130574,-0.0086988121355638,-0.586132644772595,3.3733301625893,-0.846479423331507,1.51016889177215,2.2419193477069,ejecta
1.25949689729707,0.192606812468839,-0.351863375153912,1.67066462185947,-0.897857508789787,2.88684147791031,2.42950485501394,ejecta
3.93022838691309,4.78335968771123,-0.334320109122131,4.15455341636555,-0.897857508789787,3.04507970620205,3.62323081060417,ejecta
-0.2563236778904,0.235917279996199,-0.340710862049003,-0.459216462191502,-0.240959045002531,1.3730290939193,1.73032250959681,ejecta
-0.0830870407261174,1.11162617080458,-0.172060736677048,-0.404770536211163,0.765903223964009,1.24643851128591,1.55979023022677,ejecta
0.804750724740829,2.98276455071507,-0.557450575942579,4.55724888411015,-0.775735751815876,2.20641709625582,2.80467586962801,ejecta
0.472713836842621,1.95812441757975,-0.499240852519069,1.51666950837926,-0.382446388033794,2.1167487668905,2.94110169312404,ejecta
2.10402550347294,2.87615234878825,0.103061286214992,0.139816840281094,1.18063305802387,2.50706973001013,1.50863054641576,ejecta
-0.465651281130574,0.866495172346022,-0.573173269811283,1.43047782288177,-0.865153381315382,2.14839641254884,2.66825004613199,ejecta
-0.487305860776109,1.09513548921634,-0.568443178796064,1.21952960659408,-0.809576125410993,1.93741210815985,2.44655808295094,ejecta
-0.480087667560931,0.754306235739986,-0.561843154680112,1.43620235316306,-0.826224601179686,1.49170776513811,1.74737573753381,ejecta
-0.595578759003785,1.47635115441125,-0.570455371267387,3.06868677126913,-0.870637003897949,1.36247987869986,1.32104503910873,ejecta
-0.646106111510034,0.874264017035022,-0.52027261762775,-0.127705456076034,-0.323509795772517,1.9479613233793,1.54273700228977,ejecta
0.595423121500654,3.08017883730325,-0.520491562646657,5.3664351826398,-0.724505872373341,1.73961432279517,1.88380156102983,ejecta
-0.898742874041279,1.78448116729157,-0.559180021612843,0.913593048763976,-0.807501241190562,1.2543504227005,0.997033708305664,ejecta
1.65649752413188,2.01074141007296,3.58842531650698,-0.555558171943376,1.9623703890737,2.48860860337609,2.2248661197699,ejecta
1.25949689729707,0.760476329156952,5.1629762720033,-0.658309430489828,1.13246610290674,2.56245310991224,2.2078128918329,ejecta
-0.761597202952889,0.369787529803868,-0.46620105427954,-0.310190727627611,-0.559009154791382,2.2143290076704,1.59389668610078,ejecta
1.27393328372743,0.956525434476751,-0.467456896053112,4.19109108095801,-0.693432011072132,2.21169170386554,1.6962160537228,ejecta
0.0468404371470942,0.548193831044865,-0.577344253528318,6.33180787023221,-0.876466440517253,0.956335092751048,1.37220472291974,ejecta
-0.29963283718147,0.463494884270357,-0.537965266807298,1.2377488982063,-0.708746632699119,0.835019117727379,0.928820796557651,ejecta
-0.739942623307354,-0.0990924077236662,-0.50907832190399,0.185763432698008,-0.701780949959102,0.624034813338389,0.587756237817585,ejecta
-0.898742874041279,0.0774766686438434,-0.503340210449079,-0.0049514664507704,-0.795002533862731,0.676780889435636,0.570703009880582,ejecta
-0.703851657231462,1.00360764840496,-0.540916434020005,0.49042281717185,-0.807600045201059,2.82618349039848,1.25283212736071,ejecta
2.07515273061223,2.90076864884037,-0.333015392084832,3.87260462019939,-0.366884756380565,1.44951090426031,0.860607884809637,ejecta
-0.790469975813603,2.3073144484459,0.118321026881903,-0.56655879582445,-0.617254118979182,1.99543279186683,0.962927252431657,ejecta
-0.501742247206466,4.39006638756916,-0.473438878881359,1.59053021255275,-0.813133069788874,1.5418165374305,1.57684345816378,ejecta
0.761441565449758,1.00221730997616,0.439739472474529,-0.118911536766705,0.304933112991692,1.80290961411187,1.49157731847876,ejecta
2.47215335744704,7.31408181459447,3.76093972155993,1.10043834715146,-0.448200457019342,2.19586788103637,2.19075966389589,ejecta
-0.213014518599329,0.300892216386289,-0.407360434738378,-0.313955285487104,0.725591187681358,2.04817886796407,2.32718548739192,ejecta
-1.04310673834485,-0.482428998414129,-0.477704193872818,-0.499569194516661,-0.557477692628683,1.6815936390882,3.09458074455707,ejecta
-0.898742874041279,2.40504570183283,-0.511760476627017,-0.108072122278217,-0.680785097728555,0.776998434020406,0.331957818762535,ejecta
-0.075868847510939,-0.377320353679901,-0.568936988612154,1.14283601440284,-0.584648795515274,0.399863989925086,0.263744907014522,ejecta
-0.927615646901993,-0.349149161088259,-0.559275985332649,-0.0903772943401958,-0.693629619093125,0.428874331778573,0.741235289250614,ejecta
-0.927615646901993,-0.36895906303866,-0.567361491098192,0.0441945407636625,-0.695012875240079,0.407775901339673,0.400170730510549,ejecta
-0.270760064320756,1.42240731707469,-0.561691797392377,1.8403179618118,-0.678858419523869,0.212615419779857,0.604809465754588,ejecta
-0.379032962548433,2.12876978034603,-0.401063262394994,-0.0858512870099991,0.37577558851782,0.233713850218756,0.366064274636542,ejecta
1.13678761263904,4.97124546301373,-0.289384198559508,0.275479408568961,0.731618232321656,1.59192530972288,0.690075605439605,ejecta
0.357222745399766,1.56973716686766,-0.420246463048814,0.290144509487516,-0.724555274378589,1.6393967782104,0.826501428935631,ejecta
0.169549721805127,1.2200794283758,-0.51276544777704,2.41180495551555,-0.820049350523642,-0.0432030492917935,0.212585223203512,ejecta
0.335568165754231,2.66388249023127,1.2177204772591,-0.578982216595626,1.02225022919768,1.7870857912827,1.15051275973869,ejecta
0.602641314715833,4.40900419333075,5.53766184967369,-0.677679649770066,7.03526470000535,1.08556297918931,0.724182061313611,ejecta
-0.653324304725213,-0.226585229881229,-0.557145849069328,0.130990429875482,-0.683946826064449,-0.502093911337848,-0.912927820638705,ejecta
2.44328058458633,2.92124559503857,-0.39505112529514,1.7180429855493,0.718921916972831,0.724252357923159,0.229638451140516,ejecta
-0.0614324610805821,0.352214881915349,-0.515538186853094,0.593274708375366,-0.638151167199232,-0.66033213962959,-0.827661680953688,ejecta
0.119022369298878,0.644899598010885,-0.564875975379164,1.37865656220506,-0.698421613602215,-0.114410252023078,0.076159399707486,ejecta
-0.104741620371653,2.76664755158476,-0.492254794906226,1.76137602570019,-0.70602952241046,-0.420337493387114,-0.435437438402613,ejecta
-0.241887291460043,-0.181729623537146,-0.512597382753173,0.488829433938661,-0.615080430748255,-0.246275442266197,-0.145532563473557,ejecta
0.061276823577451,0.266655548288475,-0.547615870645684,3.92095344944803,-0.829238123499835,-0.689342481483076,-0.196692247284567,ejecta
0.465495643627443,0.521155719612945,-0.442780034191984,0.278811883082598,0.508765786646368,-0.794834633677572,-0.0602664237885403,ejecta
0.169549721805127,1.45637976468752,-0.519930360365567,1.15684974316705,-0.555155798382011,-0.823844975531058,-0.179639019347563,ejecta
1.23784231765153,-0.0781913332276133,0.0989274833233073,-0.441828559766618,2.10613022434639,1.27017424552967,0.911767568620647,coronal_holes
0.747005179019401,0.123180907457925,0.498729035355664,-0.457631387973883,-0.226138443428027,1.22534008084701,1.01408693624267,coronal_holes
0.580986735070297,-0.163308822574403,0.261525414211566,-0.339548808443503,-0.61463581270102,1.75543814562435,1.76442896547081,coronal_holes
2.01018899167563,0.0872044499413732,1.32912565068092,-0.06557153084965,-0.320545675457616,2.52025624903444,2.07138706833687,coronal_holes
1.33889702266403,-0.144184468885296,0.587788893137344,-0.114668735383379,-0.271588288256505,2.63629761644838,2.39539839913993,coronal_holes
0.378877325045302,-0.132609621846704,1.54067677481697,-0.534712736614403,0.428141714081067,1.89521524728206,1.40631117879374,coronal_holes
0.530459382564048,-0.0129439078436751,1.02714703720429,-0.405672340003759,0.293669455795069,1.74752623420976,1.61094991403778,coronal_holes
0.544895768994405,0.215300546141753,0.740428166792905,-0.32274438003931,-0.210576811774798,1.79236039889242,1.45747086260475,coronal_holes
0.479932030057799,-0.110005439746131,0.46694143725684,-0.576394497150948,2.34978091423123,1.38621561294362,1.91790801690384,coronal_holes
0.667605053652438,0.0714894895568052,0.33601188397139,-0.48118586138892,0.610978535505196,1.47324663850407,2.05433384039987,coronal_holes
0.559332155424762,-0.301678920683636,0.0079067648508631,-0.205161930433708,-0.583117333352575,1.4574228156749,2.49771776676195,coronal_holes
0.487150223272978,-0.0926095492331013,0.213323521418636,-0.561099574271385,-0.162903876710144,0.618760205728664,0.127319083518496,coronal_holes
1.07904206691761,0.111696250696334,0.560492410016692,-0.343973377071165,-0.117256423860672,0.529091876363343,0.161425539392502,coronal_holes
